C (g/L),I
0.0,14410740.926390026
0.0,14423170.272588765
0.0,14410648.203776695
0.0,14396790.84132319
0.0,14394213.13236763
3.0,1063785.9846321547
3.0,988359.2967296699
3.0,1102579.182286931
3.0,939075.4305832778
3.0,1072310.4996438255
4.0,444582.84795599605
4.0,459363.7656900891
4.0,444982.62504305376
4.0,539590.254030996
4.0,613434.0646275403
5.0,268598.4776020942
5.0,280645.9094595661
5.0,283655.08149231435
5.0,298385.5738216858
5.0,282301.14118215383
6.0,123682.59579234608
6.0,133722.6194177951
6.0,134357.57832153406
6.0,129786.45030578294
6.0,121025.9616659639
